Client,Industry,Platform,Content_Type,Topic,Posting_Day,Posting_Time,Reach,Likes,Comments,Shares,Saves,Clicks,Leads,Ad_Spend,Revenue,Performance_Score
Client_086,Beauty,Facebook,Reel,Customer Story,Sunday,10,14203,571,28,95,44,329,42,1709,21464,15.53
Client_087,Food,Facebook,Reel,Behind the Scenes,Friday,10,7377,549,35,81,49,207,20,3147,25269,12.08
Client_088,Food,Facebook,Reel,Promotion,Thursday,18,20058,1669,68,99,151,119,8,2851,3363,24.36
Client_089,Fitness,YouTube Shorts,Static,Promotion,Thursday,17,5875,414,28,55,31,99,4,1006,3691,6.73
Client_090,Technology,YouTube Shorts,Reel,Tips & Tricks,Saturday,10,36483,2531,117,298,145,522,33,3848,37190,44.43
Client_091,Beauty,YouTube Shorts,Reel,Customer Story,Monday,13,35286,2286,80,367,333,708,34,1167,29922,48.72
Client_092,Technology,Facebook,Static,Promotion,Tuesday,17,6457,412,27,64,46,166,19,4812,10023,9.72
Client_093,Fitness,Facebook,Reel,Customer Story,Wednesday,10,10747,508,40,35,36,265,24,4921,30833,10.65
Client_094,Fashion,YouTube Shorts,Carousel,Tips & Tricks,Tuesday,17,11316,523,32,68,72,260,9,3484,10423,10.26
Client_095,Education,YouTube Shorts,Carousel,Promotion,Tuesday,16,21368,2379,75,328,244,342,41,3628,35644,46.09
Client_096,Education,Instagram,Reel,Tips & Tricks,Tuesday,21,16490,1207,51,206,142,295,13,1187,14716,24.16
Client_097,Technology,Facebook,Static,Behind the Scenes,Sunday,14,14333,1483,108,253,127,213,15,3663,8066,31.14
Client_098,Food,Instagram,Carousel,Product Education,Sunday,19,15986,677,25,106,78,135,15,4174,13243,13.45
Client_099,Fashion,Instagram,Carousel,Behind the Scenes,Sunday,10,22983,1781,47,155,130,142,11,4244,4362,25.75
Client_100,Education,YouTube Shorts,Static,Product Education,Saturday,16,23636,1014,46,131,67,364,39,1201,33608,21.44
Client_101,Fashion,YouTube Shorts,Static,Tips & Tricks,Sunday,16,15035,1632,36,163,132,356,25,1053,17050,26.46
Client_102,Beauty,YouTube Shorts,Static,Product Education,Sunday,17,5961,367,14,49,48,131,19,4420,18517,8.14
Client_103,Food,Instagram,Static,Promotion,Monday,12,9284,1018,39,91,85,235,20,799,21985,17.28
Client_104,Technology,Facebook,Reel,Customer Story,Wednesday,9,12698,1230,90,123,180,221,19,4753,10613,25.79
Client_105,Beauty,Facebook,Reel,Promotion,Friday,21,14921,878,21,119,64,299,24,4136,18278,16.13
Client_106,Fashion,YouTube Shorts,Carousel,Tips & Tricks,Thursday,12,27993,2445,102,376,280,806,37,4089,11579,50.38
Client_107,Fashion,Instagram,Static,Customer Story,Wednesday,14,18869,826,38,81,73,130,6,3506,6517,12.93
Client_108,Beauty,Facebook,Reel,Product Education,Monday,19,13970,905,48,76,62,225,33,2839,35703,17.72
Client_109,Food,Instagram,Reel,Product Education,Thursday,10,24481,2866,226,392,338,459,29,2957,33799,62.04
Client_110,Beauty,YouTube Shorts,Static,Behind the Scenes,Sunday,13,7980,946,63,76,89,111,10,4328,15239,16.24
Client_111,Food,YouTube Shorts,Reel,Product Education,Wednesday,14,24325,2413,167,143,354,512,43,4738,26937,48.92
Client_112,Fitness,YouTube Shorts,Static,Behind the Scenes,Sunday,10,6252,655,33,58,37,177,10,4750,13986,10.04
Client_113,Fashion,Facebook,Reel,Tips & Tricks,Wednesday,10,16332,627,36,79,65,151,15,3265,21297,12.37
Client_114,Fashion,Instagram,Reel,Product Education,Saturday,20,29873,1462,79,190,63,813,77,2974,59294,34.54
Client_115,Beauty,Facebook,Carousel,Promotion,Monday,19,5589,376,17,35,20,148,10,3329,7651,5.66
Client_116,Technology,YouTube Shorts,Static,Product Education,Wednesday,11,11811,832,23,47,119,314,25,1808,29757,15.18
Client_117,Fitness,YouTube Shorts,Carousel,Behind the Scenes,Sunday,10,21296,1594,61,84,229,375,54,2262,48628,32.25
Client_118,Fashion,Instagram,Carousel,Promotion,Friday,22,20420,627,16,42,43,288,22,870,14939,10.27
Client_119,Fitness,YouTube Shorts,Reel,Customer Story,Friday,12,28153,1985,105,312,215,570,25,1292,19382,41.03
Client_120,Technology,YouTube Shorts,Carousel,Behind the Scenes,Tuesday,17,22386,752,16,107,96,402,19,4723,10153,14.67
Client_121,Fitness,Facebook,Reel,Promotion,Friday,19,15908,1203,60,136,122,268,8,3213,8409,20.81
Client_122,Education,YouTube Shorts,Carousel,Product Education,Friday,15,24955,2045,129,257,120,517,53,3614,23237,42.33
Client_123,Fashion,YouTube Shorts,Static,Product Education,Tuesday,8,15777,688,42,71,86,441,59,1010,58479,20.26
Client_124,Fitness,Instagram,Static,Customer Story,Saturday,15,17774,2063,98,246,206,389,52,2665,49414,42.7
Client_125,Food,Instagram,Carousel,Tips & Tricks,Wednesday,11,14752,1378,84,156,127,280,39,2740,22214,29.15
Client_126,Fitness,YouTube Shorts,Static,Promotion,Thursday,21,8639,484,18,69,37,138,8,4424,5407,7.95
Client_127,Fitness,Facebook,Static,Customer Story,Tuesday,9,5536,191,14,15,12,41,2,4369,1830,1.92
Client_128,Fashion,YouTube Shorts,Reel,Promotion,Saturday,22,34145,1637,127,150,181,945,38,2402,30591,34.93
Client_129,Food,Facebook,Reel,Product Education,Sunday,14,7565,823,16,101,42,223,14,4950,15050,12.58
Client_130,Food,YouTube Shorts,Carousel,Customer Story,Tuesday,20,11324,1084,63,155,45,152,9,2082,7182,18.58
Client_131,Education,YouTube Shorts,Carousel,Product Education,Thursday,18,10607,774,58,39,63,171,10,3200,10361,12.54
Client_132,Beauty,YouTube Shorts,Reel,Customer Story,Saturday,13,34852,1416,54,145,134,954,109,3047,105165,38.16
Client_133,Beauty,Facebook,Carousel,Tips & Tricks,Tuesday,11,10834,768,60,75,90,301,36,2289,39107,18.69
Client_134,Beauty,YouTube Shorts,Reel,Tips & Tricks,Thursday,16,30607,1227,85,205,76,563,28,4762,20608,26.58
Client_135,Beauty,Instagram,Static,Tips & Tricks,Thursday,9,17378,1230,62,134,57,287,36,678,25664,23.36
Client_136,Fashion,YouTube Shorts,Reel,Tips & Tricks,Monday,8,36187,1293,102,221,61,1025,34,3849,15865,29.11
Client_137,Beauty,YouTube Shorts,Static,Promotion,Wednesday,22,14695,937,57,127,93,313,22,1962,20819,19.57
Client_138,Fitness,Instagram,Static,Behind the Scenes,Sunday,8,4595,416,21,49,54,51,3,2758,2253,6.67
Client_139,Fashion,YouTube Shorts,Carousel,Tips & Tricks,Sunday,22,12752,459,25,49,52,341,20,862,16815,9.76
Client_140,Food,YouTube Shorts,Reel,Product Education,Tuesday,16,37462,3066,167,461,398,409,55,4770,29567,68.27
Client_141,Technology,Facebook,Reel,Tips & Tricks,Friday,22,16570,1134,56,200,162,360,44,3111,45782,29.04
Client_142,Education,Instagram,Carousel,Promotion,Tuesday,20,22626,2408,91,341,309,630,61,3912,54361,52.76
Client_143,Food,Facebook,Reel,Customer Story,Tuesday,13,12961,496,31,37,34,283,28,1096,17189,10.64
Client_144,Beauty,YouTube Shorts,Static,Behind the Scenes,Thursday,11,5201,255,8,37,31,124,17,2175,13112,5.7
Client_145,Fitness,Facebook,Carousel,Promotion,Thursday,16,8053,502,36,55,64,185,22,3123,27756,11.62
Client_146,Technology,Facebook,Carousel,Product Education,Friday,21,15144,476,25,59,56,187,10,2384,11047,8.84
Client_147,Food,Facebook,Static,Customer Story,Wednesday,20,11883,1147,54,166,90,100,9,2007,15133,20.28
Client_148,Beauty,Instagram,Static,Product Education,Sunday,21,5948,204,4,13,22,39,1,2291,4502,1.51
Client_149,Technology,Instagram,Static,Tips & Tricks,Thursday,18,16788,1307,58,68,156,308,19,4614,24085,21.78
Client_150,Food,Instagram,Reel,Tips & Tricks,Tuesday,11,14111,743,30,113,36,408,34,2492,34592,16.11
Client_151,Technology,YouTube Shorts,Reel,Product Education,Monday,14,30137,2195,127,310,107,787,84,3213,70417,49.56
Client_152,Fitness,Instagram,Reel,Behind the Scenes,Sunday,19,29465,1007,24,171,139,562,19,3076,6751,20.64
Client_153,Fitness,Instagram,Static,Promotion,Monday,12,8258,668,47,92,66,120,14,1142,13501,13.67
Client_154,Fashion,Instagram,Carousel,Behind the Scenes,Sunday,9,16160,1873,82,282,81,191,28,4519,16438,34.13
Client_155,Fitness,Facebook,Carousel,Behind the Scenes,Saturday,17,4404,249,8,14,17,63,7,1763,10240,2.88
Client_156,Technology,Facebook,Reel,Product Education,Monday,12,11120,435,10,46,44,198,8,1234,9436,6.51
Client_157,Fashion,YouTube Shorts,Static,Customer Story,Sunday,14,15647,1015,25,169,141,460,45,1889,45913,24.72
Client_158,Food,Instagram,Carousel,Customer Story,Wednesday,15,9781,676,30,76,32,110,6,4561,6749,9.9
Client_159,Education,Instagram,Reel,Customer Story,Monday,14,19857,1274,91,136,111,508,54,1615,32704,29.88
Client_160,Fitness,YouTube Shorts,Reel,Promotion,Wednesday,10,19437,1868,108,328,235,255,16,3718,10900,40.13
Client_161,Fitness,Instagram,Static,Tips & Tricks,Tuesday,18,18420,1317,82,140,94,411,52,3851,52918,28.98
Client_162,Food,YouTube Shorts,Carousel,Behind the Scenes,Wednesday,18,19865,2006,49,358,185,298,27,3926,22063,38.87
Client_163,Technology,YouTube Shorts,Static,Tips & Tricks,Saturday,22,11307,1008,41,135,45,334,37,3773,40456,20.26
Client_164,Education,Instagram,Reel,Product Education,Wednesday,11,27166,2179,133,171,176,450,50,4599,23025,41.78
Client_165,Fashion,Facebook,Reel,Customer Story,Thursday,22,6126,261,10,28,16,104,9,4089,12607,3.86
Client_166,Technology,Instagram,Carousel,Product Education,Sunday,19,8771,774,46,55,114,97,4,1811,6938,13.03
Client_167,Education,Facebook,Reel,Promotion,Saturday,10,16866,1161,25,150,71,334,25,2259,13780,19.95
Client_168,Beauty,Instagram,Static,Product Education,Sunday,21,18073,1072,50,90,144,328,34,3683,32965,22.24
Client_169,Fitness,Instagram,Carousel,Customer Story,Sunday,15,10653,996,37,129,49,88,3,3001,2606,14.65
Client_170,Technology,YouTube Shorts,Reel,Tips & Tricks,Thursday,14,31043,2003,62,265,232,655,98,1866,75964,48.6
Client_171,Food,Instagram,Carousel,Promotion,Friday,8,16764,708,48,124,67,291,32,3904,34900,17.95
Client_172,Education,Instagram,Reel,Tips & Tricks,Monday,20,15282,836,43,60,75,360,43,4684,20386,18.26
Client_173,Fashion,Facebook,Static,Customer Story,Friday,21,12360,861,28,90,104,263,15,764,12802,15.23
Client_174,Technology,Instagram,Carousel,Product Education,Sunday,20,12764,1174,84,151,102,260,32,2195,34854,25.61
Client_175,Fitness,Facebook,Static,Customer Story,Friday,16,6641,374,20,65,36,182,23,1610,26785,9.36
Client_176,Fashion,Facebook,Static,Behind the Scenes,Saturday,21,5672,533,37,79,60,97,9,2701,11421,10.66
Client_177,Education,Facebook,Reel,Product Education,Thursday,16,17977,1274,62,160,172,470,19,4255,20034,25.52
Client_178,Fashion,YouTube Shorts,Carousel,Behind the Scenes,Thursday,21,14799,873,32,105,47,389,48,896,15071,19.39
Client_179,Beauty,Facebook,Reel,Product Education,Sunday,10,13098,1562,71,280,218,354,23,2744,10887,34.48
Client_180,Technology,Instagram,Carousel,Behind the Scenes,Monday,14,15010,1470,67,90,74,155,6,2352,8331,19.83
Client_181,Fashion,Instagram,Static,Customer Story,Sunday,9,15070,1100,37,67,141,114,8,2951,6255,16.8
Client_182,Food,YouTube Shorts,Static,Behind the Scenes,Monday,16,20798,1840,85,264,200,182,14,4124,17599,34.91
Client_183,Fashion,Instagram,Reel,Product Education,Friday,19,21978,1281,36,110,63,413,42,2834,44193,22.44
Client_184,Beauty,Facebook,Reel,Tips & Tricks,Friday,16,19065,1079,25,179,156,331,14,4592,17507,21.28
Client_185,Fashion,YouTube Shorts,Reel,Customer Story,Wednesday,10,30780,2089,110,151,191,913,35,1053,11387,37.19
Client_186,Food,Instagram,Reel,Promotion,Friday,12,26772,1823,80,242,180,236,9,1147,8621,32.33
Client_187,Food,YouTube Shorts,Carousel,Promotion,Friday,18,28894,2004,154,162,134,812,35,950,21248,37.83
Client_188,Fashion,Instagram,Static,Behind the Scenes,Saturday,8,8294,639,42,91,37,67,8,2701,8967,11.32
Client_189,Fashion,Facebook,Carousel,Customer Story,Friday,9,14670,1268,63,147,58,388,19,1788,10551,21.6
Client_190,Fitness,YouTube Shorts,Static,Product Education,Tuesday,19,5954,638,13,35,51,166,8,789,9963,8.03
Client_191,Food,Facebook,Reel,Promotion,Saturday,13,20666,1683,45,231,77,218,20,876,13764,27.35
Client_192,Education,Facebook,Carousel,Customer Story,Monday,16,3130,150,8,13,16,51,5,4541,6805,1.77
Client_193,Beauty,YouTube Shorts,Reel,Behind the Scenes,Monday,22,17042,1341,77,187,55,227,27,3582,32732,25.53
Client_194,Fashion,Instagram,Static,Behind the Scenes,Thursday,15,5569,307,6,24,40,85,11,4255,11860,4.86
Client_195,Fitness,Instagram,Static,Behind the Scenes,Saturday,21,14337,1162,53,203,76,165,11,3719,13309,21.52
Client_196,Technology,Facebook,Carousel,Behind the Scenes,Monday,11,15778,628,16,68,46,126,9,2200,8933,9.31
Client_197,Education,Facebook,Reel,Product Education,Tuesday,20,20673,1916,42,304,145,150,8,3414,9446,31.75
Client_198,Fashion,YouTube Shorts,Carousel,Customer Story,Sunday,10,20817,1666,88,103,85,517,23,1005,27120,25.94
Client_199,Food,Instagram,Carousel,Customer Story,Saturday,18,7753,413,28,21,19,213,17,1555,8564,7.14
Client_200,Fashion,Instagram,Carousel,Product Education,Tuesday,22,23805,1560,33,216,92,246,12,2792,9689,24.42
Client_201,Fashion,YouTube Shorts,Static,Tips & Tricks,Tuesday,18,15600,1707,83,104,140,241,25,4807,17078,27.97
Client_202,Fashion,Facebook,Static,Customer Story,Thursday,16,6908,519,22,38,38,72,9,2801,6645,7.54
Client_203,Fitness,Facebook,Static,Behind the Scenes,Tuesday,9,11009,594,40,100,27,329,18,3681,12457,12.41
Client_204,Food,Instagram,Static,Customer Story,Sunday,19,13404,436,27,75,44,255,13,4532,12996,9.32
Client_205,Food,Facebook,Reel,Product Education,Monday,11,8230,636,12,107,39,67,7,3150,2349,9.99
Client_206,Food,YouTube Shorts,Static,Behind the Scenes,Sunday,9,14364,1672,70,288,139,108,7,1617,6455,30.68
Client_207,Beauty,Facebook,Static,Customer Story,Tuesday,19,11490,1158,38,146,68,145,16,1543,6910,19.1
Client_208,Beauty,YouTube Shorts,Carousel,Tips & Tricks,Monday,10,26033,1298,70,222,72,615,36,3117,15882,27.92
Client_209,Beauty,YouTube Shorts,Static,Customer Story,Thursday,8,11340,1047,42,159,124,70,5,3937,5491,18.99
Client_210,Education,Facebook,Carousel,Tips & Tricks,Thursday,9,15922,1410,86,100,67,416,27,3110,14816,23.86
Client_211,Fashion,Facebook,Reel,Promotion,Tuesday,19,14952,903,71,150,106,235,25,4056,10688,21.82
Client_212,Fashion,Facebook,Reel,Behind the Scenes,Thursday,19,18536,1457,86,129,73,274,26,4521,11028,25.27
Client_213,Technology,Instagram,Carousel,Product Education,Wednesday,21,24667,955,30,126,140,415,18,3756,17182,18.89
Client_214,Beauty,Facebook,Reel,Tips & Tricks,Thursday,10,21883,1384,64,116,126,233,14,1004,6448,22.74
Client_215,Fashion,YouTube Shorts,Carousel,Tips & Tricks,Thursday,20,24140,856,37,100,125,535,76,2430,58460,26.04
Client_216,Fashion,Facebook,Static,Product Education,Friday,17,12891,1172,67,76,144,120,17,2235,19887,20.91
Client_217,Food,Instagram,Carousel,Product Education,Saturday,14,11616,503,28,46,60,292,11,3755,11636,9.03
Client_218,Technology,YouTube Shorts,Carousel,Product Education,Sunday,19,19749,792,22,97,82,575,24,1365,20651,15.31
Client_219,Technology,YouTube Shorts,Carousel,Promotion,Wednesday,14,25954,1883,57,192,203,571,44,3742,53755,35.69
Client_220,Beauty,Instagram,Reel,Promotion,Wednesday,22,21505,2227,85,192,209,481,20,2367,10201,36.45
Client_221,Beauty,Facebook,Carousel,Customer Story,Saturday,14,13576,636,20,99,77,325,43,960,34713,16.84
Client_222,Fashion,Facebook,Static,Tips & Tricks,Thursday,10,13924,453,14,71,59,156,13,3452,14254,8.99
Client_223,Technology,Facebook,Carousel,Tips & Tricks,Thursday,18,14160,733,36,79,106,238,22,3320,11292,15.49
Client_224,Beauty,YouTube Shorts,Reel,Customer Story,Monday,14,30938,3099,101,244,200,314,33,4704,8982,47.5
Client_225,Education,Instagram,Static,Behind the Scenes,Friday,20,4221,357,27,50,42,50,6,3356,6384,6.71
Client_226,Food,Facebook,Carousel,Tips & Tricks,Sunday,17,12576,385,30,67,50,239,24,2815,14205,10.69
Client_227,Education,Instagram,Carousel,Customer Story,Saturday,13,14072,1322,97,117,74,339,46,3810,45214,27.57
Client_228,Beauty,Instagram,Static,Product Education,Saturday,15,11748,780,50,98,116,298,21,2321,24371,17.5
Client_229,Beauty,Facebook,Static,Customer Story,Friday,12,13418,1461,45,91,79,153,19,1999,20723,20.63
Client_230,Beauty,Instagram,Reel,Customer Story,Tuesday,19,18827,1194,65,131,63,119,12,1083,10389,19.68
Client_231,Fitness,Instagram,Static,Promotion,Friday,12,14828,628,20,64,64,410,34,3091,39999,13.77
Client_232,Fashion,Facebook,Carousel,Behind the Scenes,Wednesday,18,3077,168,11,12,20,53,6,1221,5844,2.32
Client_233,Beauty,Facebook,Carousel,Promotion,Thursday,14,3618,173,7,8,13,93,4,533,5602,1.46
Client_234,Food,YouTube Shorts,Carousel,Customer Story,Tuesday,9,25289,1455,34,81,210,414,38,4793,26162,26.47
Client_235,Beauty,Instagram,Carousel,Promotion,Wednesday,20,11174,354,11,63,22,61,5,1508,3431,5.43
